fare_id,origin_id,destination_id
fare_300,34,19
fare_340,34,20
fare_300,34,21
fare_300,34,22
fare_300,34,23
fare_300,34,24
fare_260,34,25
fare_260,34,26
fare_260,34,27
fare_260,34,28
fare_260,34,29
fare_210,34,30
fare_210,34,31
fare_210,34,32
fare_210,34,33
fare_210,34,35
fare_210,34,36
fare_340,35,1
fare_300,35,2
fare_300,35,3
fare_300,35,4
fare_260,35,5
fare_260,35,6
fare_260,35,7
fare_260,35,8
fare_260,35,9
fare_210,35,10
fare_210,35,11
fare_210,35,12
fare_260,35,13
fare_260,35,14
fare_260,35,15
fare_260,35,16
fare_260,35,17
fare_260,35,18
fare_300,35,19
fare_340,35,20
fare_300,35,21
fare_300,35,22
fare_300,35,23
fare_300,35,24
fare_300,35,25
fare_300,35,26
fare_260,35,27
fare_260,35,28
fare_260,35,29
fare_260,35,30
fare_210,35,31
fare_210,35,32
fare_210,35,33
fare_210,35,34
fare_210,35,36
fare_300,36,1
fare_300,36,2
fare_300,36,3
fare_260,36,4
fare_260,36,5
fare_260,36,6
fare_260,36,7
fare_260,36,8
fare_210,36,9
fare_210,36,10
fare_210,36,11
fare_210,36,12
fare_260,36,13
fare_210,36,14
fare_260,36,15
fare_260,36,16
fare_260,36,17
fare_260,36,18
fare_260,36,19
fare_340,36,20
fare_340,36,21
fare_340,36,22
fare_300,36,23
fare_300,36,24
fare_300,36,25
fare_300,36,26
fare_300,36,27
fare_260,36,28
fare_260,36,29
fare_260,36,30
fare_260,36,31
fare_210,36,32
fare_210,36,33
fare_210,36,34
fare_210,36,35
